regime,optimizer,rank,validation_nrmse_x,validation_nrmse_all,best_score
periodic_spiking,Random forest,1,2.621987486227796e-05,1.8254372670033293e-05,2.985965712936149e-05
periodic_spiking,Gaussian process,2,0.00014086421126831064,9.581798497227305e-05,0.00013985767808380998
periodic_spiking,GBRT,3,0.0003666459505129917,0.000248122686997801,0.000388477578547907
periodic_spiking,Random search,4,0.0003780225499777075,0.0002594933800319149,0.00039439819775161165
periodic_bursting,Random forest,1,0.00014033155402810223,0.00011590042710312778,0.0001625389549609331
periodic_bursting,GBRT,2,0.00017792058573974298,0.0001489656869146621,0.0002130852097045364
periodic_bursting,Gaussian process,3,0.0004245551290817009,0.0003768981204446411,0.0005909412876520319
periodic_bursting,Random search,4,0.000834180429686035,0.0006908155533815021,0.0010159522701534943
chaotic_bursting,GBRT,1,0.0005964309366852732,0.0004440437687439248,0.0006411884706532306
chaotic_bursting,Gaussian process,2,0.002563484529808716,0.001923246293316005,0.0030737167568877
chaotic_bursting,Random forest,3,0.005307208764675393,0.0038930110506851315,0.006166668771112436
chaotic_bursting,Random search,4,0.009938891969272239,0.007333591585764211,0.011458722944307935
