time_index,time,target_x,target_y,target_z,true_x,uncontrolled_x,raw_readout_x,corrected_feedback_input_x,control_signal_x,controlled_x,u_x,true_y,uncontrolled_y,raw_readout_y,corrected_feedback_input_y,control_signal_y,controlled_y,u_y,true_z,uncontrolled_z,raw_readout_z,corrected_feedback_input_z,control_signal_z,controlled_z,u_z
0,1050.0,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8961298344499171,-0.8961298328188141,-0.8961298328188141,-0.8961298328188141,0.0,-0.8961298328188141,0.0,-3.088732750596639,-3.0887327503197275,-3.0887327503197275,-3.0887327503197275,0.0,-3.0887327503197275,0.0,3.2804654379614195,3.280465438254319,3.280465438254319,3.280465438254319,0.0,3.280465438254319,0.0
1,1050.01,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.896033914026532,-0.896033910741953,-0.896033910741953,-0.896033910741953,0.0,-0.896033910741953,0.0,-3.087997237171031,-3.087997237097584,-3.087997237097584,-3.087997237097584,0.0,-3.087997237097584,0.0,3.2804375512187254,3.280437551779954,3.280437551779954,3.280437551779954,0.0,3.280437551779954,0.0
2,1050.02,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8959378272407046,-0.8959378222512124,-0.8959378222512124,-0.8959378222512124,0.0,-0.8959378222512124,0.0,-3.0872604828366867,-3.0872604832716037,-3.0872604832716037,-3.0872604832716037,0.0,-3.0872604832716037,0.0,3.2804096891893546,3.2804096900107655,3.2804096900107655,3.2804096900107655,0.0,3.2804096900107655,0.0
3,1050.03,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8958415738327216,-0.8958415670807914,-0.8958415670807914,-0.8958415670807914,0.0,-0.8958415670807914,0.0,-3.086522486016376,-3.0865224871659764,-3.0865224871659764,-3.0865224871659764,0.0,-3.0865224871659764,0.0,3.2803818519117813,3.2803818529939273,3.2803818529939273,3.2803818529939273,0.0,3.2803818529939273,0.0
4,1050.04,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8957451535422916,-0.8957451449756055,-0.8957451449756055,-0.8957451449756055,0.0,-0.8957451449756055,0.0,-3.0857832451301666,-3.085783247143568,-3.085783247143568,-3.085783247143568,0.0,-3.085783247143568,0.0,3.2803540394245396,3.280354040772386,3.280354040772386,3.280354040772386,0.0,3.280354040772386,0.0
5,1050.05,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8956485661085436,-0.8956485556850369,-0.8956485556850369,-0.8956485556850369,0.0,-0.8956485556850369,0.0,-3.0850427585954185,-3.0850427615868634,-3.0850427615868634,-3.0850427615868634,0.0,-3.0850427615868634,0.0,3.2803262517662244,3.280326253386794,3.280326253386794,3.280326253386794,0.0,3.280326253386794,0.0
6,1050.06,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.895551811270025,-0.8955517989596531,-0.8955517989596531,-0.8955517989596531,0.0,-0.8955517989596531,0.0,-3.0843010248267775,-3.0843010288877837,-3.0843010288877837,-3.0843010288877837,0.0,-3.0843010288877837,0.0,3.28029848897549,3.280298490876592,3.280298490876592,3.280298490876592,0.0,3.280298490876592,0.0
7,1050.07,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8954548887647001,-0.8954548745495339,-0.8954548745495339,-0.8954548745495339,0.0,-0.8954548745495339,0.0,-3.083558042236168,-3.083558047442263,-3.083558047442263,-3.083558047442263,0.0,-3.083558047442263,0.0,3.2802707510910523,3.2802707532806106,3.2802707532806106,3.2802707532806106,0.0,3.2802707532806106,0.0
8,1050.08,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8953577983299481,-0.8953577822034637,-0.8953577822034637,-0.8953577822034637,0.0,-0.8953577822034637,0.0,-3.0828138092327872,-3.082813815647369,-3.082813815647369,-3.082813815647369,0.0,-3.082813815647369,0.0,3.280243038151687,3.2802430406374006,3.2802430406374006,3.2802430406374006,0.0,3.2802430406374006,0.0
9,1050.09,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8952605397025616,-0.8952605216685795,-0.8952605216685795,-0.8952605216685795,0.0,-0.8952605216685795,0.0,-3.0820683242230986,-3.0820683318997673,-3.0820683318997673,-3.0820683318997673,0.0,-3.0820683318997673,0.0,3.2802153501962312,3.280215352985416,3.280215352985416,3.280215352985416,0.0,3.280215352985416,0.0
10,1050.1,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8951631126187447,-0.8951630926902587,-0.8951630926902587,-0.8951630926902587,0.0,-0.8951630926902587,0.0,-3.0813215856108247,-3.081321594594899,-3.081321594594899,-3.081321594594899,0.0,-3.081321594594899,0.0,3.2801876872635822,3.28018769036311,3.28018769036311,3.28018769036311,0.0,3.28018769036311,0.0
11,1050.1100000000001,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8950655168141113,-0.8950654950121243,-0.8950654950121243,-0.8950654950121243,0.0,-0.8950654950121243,0.0,-3.080573591796941,-3.0805736021265298,-3.0805736021265298,-3.0805736021265298,0.0,-3.0805736021265298,0.0,3.280160049392699,3.2801600528089865,3.2801600528089865,3.2801600528089865,0.0,3.2801600528089865,0.0
12,1050.1200000000001,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8949677520236833,-0.8949677283761074,-0.8949677283761074,-0.8949677283761074,0.0,-0.8949677283761074,0.0,-3.0798243411796697,-3.0798243528864937,-3.0798243528864937,-3.0798243528864937,0.0,-3.0798243528864937,0.0,3.280132436622601,3.280132440361624,3.280132440361624,3.280132440361624,0.0,3.280132440361624,0.0
13,1050.13,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8948698179818888,-0.8948697925225317,-0.8948697925225317,-0.8948697925225317,0.0,-0.8948697925225317,0.0,-3.079073832154472,-3.079073845264542,-3.079073845264542,-3.079073845264542,0.0,-3.079073845264542,0.0,3.2801048489923694,3.2801048530596906,3.2801048530596906,3.2801048530596906,0.0,3.2801048530596906,0.0
14,1050.14,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8947717144225604,-0.8947716871902062,-0.8947716871902062,-0.8947716871902062,0.0,-0.8947716871902062,0.0,-3.0783220631140433,-3.0783220776482416,-3.0783220776482416,-3.0783220776482416,0.0,-3.0783220776482416,0.0,3.2800772865411476,3.2800772909419442,3.2800772909419442,3.2800772909419442,0.0,3.2800772909419442,0.0
15,1050.15,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8946734410789334,-0.8946734121165137,-0.8946734121165137,-0.8946734121165137,0.0,-0.8946734121165137,0.0,-3.0775690324483045,-3.077569048422905,-3.077569048422905,-3.077569048422905,0.0,-3.077569048422905,0.0,3.2800497493081395,3.280049754047236,3.280049754047236,3.280049754047236,0.0,3.280049754047236,0.0
16,1050.16,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8945749976836439,-0.8945749670374965,-0.8945749670374965,-0.8945749670374965,0.0,-0.8945749670374965,0.0,-3.0768147385443965,-3.076814755971538,-3.076814755971538,-3.076814755971538,0.0,-3.076814755971538,0.0,3.280022237332611,3.2800222424145087,3.2800222424145087,3.2800222424145087,0.0,3.2800222424145087,0.0
17,1050.17,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8944763839687271,-0.894476351687934,-0.894476351687934,-0.894476351687934,0.0,-0.894476351687934,0.0,-3.0760591797866734,-3.076059198674793,-3.076059198674793,-3.076059198674793,0.0,-3.076059198674793,0.0,3.2799947506538905,3.2799947560827922,3.2799947560827922,3.2799947560827922,0.0,3.2799947560827922,0.0
18,1050.18,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8943775996656156,-0.8943775658014125,-0.8943775658014125,-0.8943775658014125,0.0,-0.8943775658014125,0.0,-3.0753023545566958,-3.0753023749109323,-3.0753023749109323,-3.0753023749109323,0.0,-3.0753023749109323,0.0,3.2799672893113674,3.2799672950912044,3.2799672950912044,3.2799672950912044,0.0,3.2799672950912044,0.0
19,1050.19,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8942786445051373,-0.8942786091103894,-0.8942786091103894,-0.8942786091103894,0.0,-0.8942786091103894,0.0,-3.0745442612332243,-3.074544283055791,-3.074544283055791,-3.074544283055791,0.0,-3.074544283055791,0.0,3.279939853344494,3.279939859478947,3.279939859478947,3.279939859478947,0.0,3.279939859478947,0.0
20,1050.2,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8941795182175136,-0.8941794813462515,-0.8941794813462515,-0.8941794813462515,0.0,-0.8941794813462515,0.0,-3.073784898192212,-3.073784921482747,-3.073784921482747,-3.073784921482747,0.0,-3.073784921482747,0.0,3.2799124427927846,3.2799124492853027,3.2799124492853027,3.2799124492853027,0.0,3.2799124492853027,0.0
21,1050.21,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8940802205323581,-0.8940801822393666,-0.8940801822393666,-0.8940801822393666,0.0,-0.8940801822393666,0.0,-3.073024263806798,-3.0730242885626877,-3.0730242885626877,-3.0730242885626877,0.0,-3.0730242885626877,0.0,3.2798850576958163,3.279885064549635,3.279885064549635,3.279885064549635,0.0,3.279885064549635,0.0
22,1050.22,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8939807511786743,-0.89398071151913,-0.89398071151913,-0.89398071151913,0.0,-0.89398071151913,0.0,-3.0722623564473017,-3.072262382663983,-3.072262382663983,-3.072262382663983,0.0,-3.072262382663983,0.0,3.2798576980932284,3.2798577053113855,3.2798577053113855,3.2798577053113855,0.0,3.2798577053113855,0.0
23,1050.23,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8938811098848534,-0.8938810689140072,-0.8938810689140072,-0.8938810689140072,0.0,-0.8938810689140072,0.0,-3.0714991744812146,-3.0714992021524568,-3.0714992021524568,-3.0714992021524568,0.0,-3.0714992021524568,0.0,3.2798303640247233,3.279830371610073,3.279830371610073,3.279830371610073,0.0,3.279830371610073,0.0
24,1050.24,-0.9352254096996273,-3.437588552458212,3.2307674862458016,-0.8937812963786733,-0.8937812541515722,-0.8937812541515722,-0.8937812541515722,0.0,-0.8937812541515722,0.0,-3.070734716273194,-3.0707347453913574,-3.0707347453913574,-3.0707347453913574,0.0,-3.0707347453913574,0.0,3.2798030555300657,3.2798030634852906,3.2798030634852906,3.2798030634852906,0.0,3.2798030634852906,0.0
