family,model_type,seed,record_count,mean_nrmse,median_nrmse,worst_nrmse,mean_valid_prediction_time,median_valid_prediction_time,divergence_count,collapse_count
known_short,parameter_aware,42,9,0.0058422941535202135,0.0022336483694112576,0.025987166436578318,80.0,80.0,0,0
known_short,parameter_aware,123,9,0.007115487777186339,0.005261829751769206,0.017972236958585647,80.0,80.0,0,0
known_short,parameter_aware,456,9,7.460849766800964,6.847612545604091,9.579435509288473,1.0255555555555556,0.84,9,0
known_short,parameter_aware,789,9,0.008637471343308485,0.006431634494272834,0.01871662066049906,80.0,80.0,0,0
known_short,parameter_aware,2026,9,0.0027222632059014356,0.0009523530671564763,0.01467162720324286,80.0,80.0,0,0
known_short,ordinary_baseline,42,9,0.7089258261116417,0.6668147892332174,1.2649072980744882,9.703333333333333,9.35,0,0
known_short,ordinary_baseline,123,9,0.7076486232221987,0.6591389962326202,1.270689717033648,9.786666666666667,9.92,0,0
known_short,ordinary_baseline,456,9,0.7100538524936343,0.6524672328206055,1.2808222304566466,9.758888888888889,9.96,0,0
known_short,ordinary_baseline,789,9,0.7035887364006754,0.5958806201187281,1.3367640287508586,11.674444444444445,13.780000000000001,0,0
known_short,ordinary_baseline,2026,9,0.7103098862749706,0.6642396165070533,1.2620109541355748,9.571111111111112,9.0,0,0
unseen_short,parameter_aware,42,6,0.5543366302055327,0.5392931558494086,0.7201743512574087,19.808333333333334,17.15,0,0
unseen_short,parameter_aware,123,6,0.4917754815517363,0.48179047891720583,0.6105104274637746,24.73,17.07,0,0
unseen_short,parameter_aware,456,6,6.733028321591629,6.739703445257189,6.811031400232116,0.5066666666666667,0.445,6,0
unseen_short,parameter_aware,789,6,0.7474564918287182,0.7301908591595461,0.8848903365445249,15.104999999999999,13.225,0,0
unseen_short,parameter_aware,2026,6,0.23888701932627474,0.21269662469786496,0.3351927040653413,24.89833333333333,19.71,0,0
unseen_short,ordinary_baseline,42,6,0.6017792884201624,0.6012421951257412,0.6916759065298277,7.2,7.48,0,0
unseen_short,ordinary_baseline,123,6,0.6009096538285705,0.597910078283513,0.6918768044715015,7.185,7.455,0,0
unseen_short,ordinary_baseline,456,6,0.6010127373235727,0.5987834390958644,0.6931992254828329,6.16,6.635,0,0
unseen_short,ordinary_baseline,789,6,0.5992721499735555,0.5945557538438422,0.6925382174845005,7.228333333333333,7.494999999999999,0,0
unseen_short,ordinary_baseline,2026,6,0.6010926643389899,0.5980686095375254,0.6930710428853312,6.213333333333334,6.8,0,0
known_long,parameter_aware,42,3,0.013512671749031334,0.007971780705863773,0.029224264373473183,277.80333333333334,279.99,0,0
