current,current_status,model_type,rollout_count,event_record_contributor_count,spike_count_error_mean,spike_count_error_median,spike_count_error_contributor_count,burst_count_error_mean,burst_count_error_median,burst_count_error_contributor_count
1.67,known,parameter_aware,5,4,0.0,0.0,4,,,0
1.67,known,ordinary_baseline,5,5,4.0,4.0,5,,,0
3.2,known,parameter_aware,5,4,0.0,0.0,4,,,0
3.2,known,ordinary_baseline,5,5,10.0,10.0,5,,,0
3.5,known,parameter_aware,5,4,0.0,0.0,4,0.0,0.0,4
3.5,known,ordinary_baseline,5,5,9.0,9.0,5,,,0
3.29,unseen,parameter_aware,5,4,0.75,1.0,4,0.0,0.0,2
3.29,unseen,ordinary_baseline,5,5,10.0,10.0,5,,,0
3.34,unseen,parameter_aware,5,4,0.25,0.0,4,,,0
3.34,unseen,ordinary_baseline,5,5,8.0,8.0,5,,,0
