current_I,evaluation_steps,running_lle
1.67,100000,-0.00020244306359573327
1.67,200000,-0.00023091345902012225
1.67,300000,-0.0003808777627800562
1.67,400000,0.00027855381526508685
1.67,500000,0.00019531963917531855
3.20,100000,0.00980167021598861
3.20,200000,0.012021314918455352
3.20,300000,0.01176749737161434
3.20,400000,0.011731889235866967
3.20,500000,0.011420290964722529
3.29,100000,-0.0002011279040262582
3.29,200000,0.001736878606228949
3.29,300000,0.0005629965146217279
3.29,400000,0.0007224656421780213
3.29,500000,0.0006856194984316945
3.34,100000,0.013964810122170206
3.34,200000,0.011653820327572308
3.34,300000,0.011948851118592
3.34,400000,0.011509517074119045
3.34,500000,0.01224151011021557
3.50,100000,-0.004718428838905892
3.50,200000,-0.0014708863488609074
3.50,300000,-0.0011374572480251177
3.50,400000,-0.0004865089596307327
3.50,500000,-0.0007120309203858866
