N_res,best_score,input_scaling,iteration,leaky_coefficient,optimizer,p,reason,regularization,score,spectral_radius,stable,validation_mean_gap,validation_nrmse,validation_nrmse_x,validation_penalty,validation_score,validation_std_ratio,washout
688,5.847422347776826,0.2896663415980111,1,0.5097321137214708,gp,0.05301826217590949,ok,3.161364550529613e-08,5.847422347776826,0.9178146001636618,True,2.7312560939253694,2.839067522033273,3.2349228532021073,2.7312560939253694,5.847422347776826,1.125682015205584,257
434,1.5111734210670438,0.44431931246942186,2,0.1206163368995122,gp,0.04571602722594935,ok,0.0004929053648241689,1.5111734210670438,0.8405330837693119,True,0.40402537585128473,1.66879143105238,1.4436228453590425,0.0,1.5111734210670438,1.3846061149542324,50
796,1.5111734210670438,0.05291495802319283,3,0.08508773975819653,gp,0.131146671732989,non_finite_prediction,4.206039057901996e-06,1000000.0,0.8169918962929686,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,230
276,0.5671448407497914,0.3862961652265289,4,0.14523663286363098,gp,0.1952759933914627,ok,8.171653749019048e-07,0.5671448407497914,0.5896628042581826,True,0.003700803349453777,0.44922040024390636,0.617683886680885,0.0,0.5671448407497914,1.0016895362135823,492
507,0.5671448407497914,0.047428378249525255,5,0.4043594614180711,gp,0.17478927321253776,ok,0.0005140540420871605,1.1189575211692877,0.8581845231526679,True,0.13848538809547714,0.9406132845941229,1.1953907654157871,0.0,1.1189575211692877,1.0882088637233598,303
462,0.5671448407497914,0.4226275705422566,6,0.2535383355387285,gp,0.022873925399638555,ok,1.1219752813215717e-05,1.5363742471823336,0.5885362953732894,True,0.42897057111831394,1.8399225195664635,1.4062821304462783,0.0,1.5363742471823336,0.6834180120953746,425
345,0.0038062793086021496,0.27808728971509705,7,0.62386021542871,gp,0.09039090936318338,ok,1.0957420145894577e-07,0.0038062793086021496,0.5593416526728374,True,2.8024846392032187e-05,0.0030781535028695677,0.004118333225344685,0.0,0.0038062793086021496,1.0000204005977515,305
267,0.0038062793086021496,0.5589289648445248,8,0.3645081699213065,gp,0.1716112594270998,ok,4.3287248298571225e-05,0.21839489596975187,0.7198524800218595,True,0.0018513644386044135,0.17499171943876957,0.23699625734017285,0.0,0.21839489596975187,1.0010674182382167,197
626,0.0038062793086021496,0.6,9,0.8,gp,0.02,ok,1e-08,0.0626469583517636,0.45,True,0.0003495685117048468,0.05028379578213168,0.06794545659589156,0.0,0.0626469583517636,1.0001558051089214,500
662,0.0038062793086021496,0.04,10,0.08,gp,0.2,non_finite_prediction,0.001,1000000.0,1.05,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,50
250,0.0038062793086021496,0.04,11,0.5639365721180225,gp,0.2,ok,0.001,0.9106998735808833,1.05,True,0.04386881244954892,0.7436834403530659,0.9822783449642337,0.0,0.9106998735808833,1.0762669211405025,283
250,0.0038062793086021496,0.5348083625973037,12,0.6002467689669155,gp,0.2,ok,0.0007377104787073908,0.5701244083175729,0.7954193412991546,True,0.006311121940950932,0.4486901682411077,0.6221676540646295,0.0,0.5701244083175729,1.0028185708623456,481
800,0.0038062793086021496,0.4105315192073389,13,0.8,gp,0.2,ok,1e-08,0.22738351974040832,1.05,True,0.00030270147875577764,0.18097038291864095,0.24727486409259436,0.0,0.22738351974040832,0.9999346430200202,50
250,0.0038062793086021496,0.12722251668674883,14,0.4815550409447744,gp,0.2,ok,0.001,0.542530804437054,1.05,True,0.005991104190378055,0.4300826032942729,0.5907228906411031,0.0,0.542530804437054,1.004140522461948,50
800,0.0038062793086021496,0.04,15,0.8,gp,0.02,prediction_exploded,1e-08,1000000.0,0.45,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,500
416,0.0038062793086021496,0.061859325761701944,16,0.8,gp,0.13391259472553316,ok,6.881925699208214e-05,0.8763930244482631,0.6265452526299631,True,0.035351569832951256,0.7077081887730815,0.9486865254519123,0.0,0.8763930244482631,0.9899183228275709,471
665,0.0038062793086021496,0.4052892469608309,17,0.8,gp,0.02,ok,1e-08,0.15497244791272285,0.9016895802124367,True,0.0008810460578149185,0.1244265965591972,0.16806352706423383,0.0,0.15497244791272285,1.0004136393528615,403
489,0.0038062793086021496,0.20953527930113758,18,0.5251791468409688,gp,0.19969863948535038,ok,8.968766877801682e-08,0.18315359860101663,1.05,True,0.0008456277420189556,0.1464070831562192,0.19890210522021554,0.0,0.18315359860101663,1.0003415386795924,50
800,0.0038062793086021496,0.6,19,0.08,gp,0.02,ok,0.001,1.4408564098120165,0.45,True,0.19069567986477295,1.3800692248455717,1.4669080605119214,0.0,1.4408564098120165,1.2692579176165992,500
475,0.0038062793086021496,0.6,20,0.8,gp,0.2,ok,1e-08,0.04747673117320429,0.45,True,0.0002405788832573165,0.03812510862139158,0.05148456940969545,0.0,0.04747673117320429,1.0001055125420282,500
597,0.002659026489584537,0.3226541734533123,21,0.8,gp,0.04342434680318768,ok,1e-08,0.002659026489584537,0.45,True,1.2457356982640564e-05,0.002142117119201153,0.0028805590768917018,0.0,0.002659026489584537,1.0000069692640674,50
471,0.002659026489584537,0.06424816221572907,22,0.08,gp,0.02,prediction_exploded,0.001,1000000.0,1.05,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,500
800,0.002659026489584537,0.2196558621705716,23,0.8,gp,0.2,ok,0.001,1.4672351407144566,0.8526722134477905,True,0.4928500216703654,2.310818965777664,1.105699215687368,0.0,1.4672351407144566,0.2036164973524502,50
250,0.002659026489584537,0.5586542001732555,24,0.10658814938787127,gp,0.2,ok,2.575440477850396e-07,0.6294141882775004,1.05,True,0.0023915787942273533,0.49830720322008615,0.6856028961592494,0.0,0.6294141882775004,0.9992366489388244,50
250,0.002659026489584537,0.05121348461581235,25,0.8,gp,0.2,ok,0.001,1.250566376143783,0.45,True,0.2272519734253642,1.1132974525386234,1.3093959148317087,0.0,1.250566376143783,1.0583341481844675,50
800,0.002659026489584537,0.3629975806331486,26,0.8,gp,0.2,ok,4.342434958596478e-06,1.2363144211431805,1.05,True,0.504915543921869,1.5176585696629994,1.1157383574918296,0.0,1.2363144211431805,0.40495113907144004,50
800,0.002659026489584537,0.24976992514096774,27,0.5268058826283253,gp,0.2,ok,7.357018525348786e-06,4.449753509735764,1.05,True,1.6043139018789256,2.1160047474151873,3.1580545480461173,1.6043139018789256,4.449753509735764,2.4932405110383047,50
800,0.002659026489584537,0.6,28,0.5065763300620212,gp,0.2,ok,1e-08,1.0000835863900535,1.05,True,0.00814706012318452,1.0732327532621015,0.9687339434448903,0.0,1.0000835863900535,0.8448001278123728,50
250,0.002638845818981778,0.4549872716607756,29,0.2505839239341943,gp,0.2,ok,1e-08,0.002638845818981778,0.45,True,7.136437835519003e-06,0.002099246000863698,0.002870102883889527,0.0,0.002638845818981778,0.9999970030937314,50
800,0.002638845818981778,0.6,30,0.8,gp,0.2,ok,0.001,8.9052738564171,1.05,True,4.6241684845695765,3.1917130910866827,4.747987777887883,4.6241684845695765,8.9052738564171,0.3535583918496855,50
447,0.0009238872962404601,0.15193514487295012,1,0.6793794171959301,dummy,0.12040535644149887,ok,4.3278409070727026e-08,0.0009238872962404601,0.8435908233038445,True,1.0027929818033443e-06,0.0007415341016728374,0.0010020386653408699,0.0,0.0009238872962404601,1.0000012697373355,189
689,0.0009238872962404601,0.47989770775315715,2,0.6442232264440333,dummy,0.09781193939138905,ok,6.516929616979904e-08,0.11903095048721114,0.6811693385309614,True,0.0006534246845004126,0.09552422028884748,0.129105263429367,0.0,0.11903095048721114,1.0002902674186558,361
581,0.0009238872962404601,0.38433124400552543,3,0.7120176818661226,dummy,0.07985387881465866,ok,1.3183159225701962e-06,1.3103956084759099,0.8109440696852265,True,0.17847001432220563,1.1585606397501036,1.3754677379298268,0.0,1.3103956084759099,1.0938185810173295,314
336,0.0009238872962404601,0.057896884798086204,4,0.1364157741159892,dummy,0.1593461496083669,non_finite_prediction,3.3979132874552366e-05,1000000.0,0.975377045392126,False,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,343
602,0.0009238872962404601,0.45133419804096714,5,0.47468052971092045,dummy,0.19173934515856147,ok,4.933547132273005e-06,1.3332053372074464,0.734985675566548,True,0.21000118118802077,1.2030458543388656,1.3889879727225525,0.0,1.3332053372074464,1.3139491557517766,346
585,0.0009238872962404601,0.5710123444576205,6,0.625377896026372,dummy,0.12413098114212275,ok,0.00024474064308885427,0.9203410752210711,0.555690452971559,True,0.18304596190879843,0.9459813857737055,0.9093523706985136,0.0,0.9203410752210711,0.619956994595374,461
501,0.0009238872962404601,0.5566932512556133,7,0.7858362434837657,dummy,0.0917954409352831,ok,1.0421046587421742e-06,1.1075369482522441,0.6200151618718205,True,0.546838167931399,1.0144698354084394,1.147422853756732,0.0,1.1075369482522441,0.24826953366021837,55
295,0.0009238872962404601,0.5994815823537437,8,0.7139087047748732,dummy,0.18826405764263252,ok,8.65217698418117e-06,0.008211573129993542,0.5408818238131536,True,0.00025491272625041976,0.006785164082438821,0.00882289129323128,0.0,0.008211573129993542,0.9999037835939554,410
715,0.0007616922705053875,0.2808673344659844,9,0.14748072561580206,dummy,0.07362546039225804,ok,3.2827576158867195e-08,0.0007616922705053875,0.5125521677201456,True,3.2419474669006025e-06,0.000609680536730758,0.0008268401564088002,0.0,0.0007616922705053875,1.000000247056396,372
